"","eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","engine_power_hp","engine_power_bin_hp","design_speed_kt"
"1","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00040360","PERLA1","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031541238","SALINA CRUZ","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.9","6900","3.27","3000","20","1","1","0",365,365,10.8055722873817
"2","0203016316","TUNIPESCA SA DE CV","00046722","RAMBLER","0203016316","TUNIPESCA SA DE CV","2011278235","ENSENADA","1977","ACERO","HIELO | REFRIGERACIÓN","PALANGRE","ECOSONDA | SONAR | VIDEOSONDA","COMERCIAL","14.3","4.4","2.5","0","20","1","1","0",250,250,10.7041757419871
"3","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00039156","PERLA2","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031487236","SALINA CRUZ","1985","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.4","6500","3.9","3","25","1","1","0",365,365,10.8055722873817
"4","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00025791","RENE","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020050234","GUAYMAS","1958","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.45","6.1","3.23","3","58.6","1","1","1",402,402,10.8380754339523
"5","2604008447","PESQUERA SAGUI SA DE CV","00022541","VERONICA","2604008447","PESQUERA SAGUI SA DE CV","26020128234","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.22","6.6","3.6","3","20","1","1","0",425,425,10.8582506253683
"6","2604008447","PESQUERA SAGUI SA DE CV","00022533","TALISMAN","2604008447","PESQUERA SAGUI SA DE CV","26020129233","GUAYMAS","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","6.05","3.5","3","20","1","1","0",425,425,10.8582506253683
"7","2604008447","PESQUERA SAGUI SA DE CV","00020248","CARLOSM","2604008447","PESQUERA SAGUI SA DE CV","26020130237","GUAYMAS","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.75","6.9","3.5","3","20","1","1","0",425,425,10.8582506253683
"8","2604011409","GEOMAR PESQUERA SA DE CV","00024166","GEOMAR5","2604011409","GEOMAR PESQUERA SA DE CV","2602013123-8","GUAYMAS","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.74","5.93","2.86","2","15","1","1","1",425,425,10.8582506253683
"9","2604009809","PESQUERA MAUCER SA DE CV","00038810","CAPITANCORTEZ","2604009809","PESQUERA MAUCER SA DE CV","26020142231","GUAYMAS","1980","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","23","6","0","2","0","1","1","0",425,425,10.8582506253683
"10","2604011409","GEOMAR PESQUERA SA DE CV","00023226","GEOMAR4","2604011409","GEOMAR PESQUERA SA DE CV","26020220235","GUAYMAS","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.2","6","0","2","0","1","1","1",425,425,10.8582506253683
"11","2604008322","PESQUERA CASTA, S.A. DE C.V.","00022475","COCORIT","2604008322","PESQUERA CASTA, S.A. DE C.V.","2602022123-7","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.05","6.2","3.1","4","121.67","1","1","1",450,450,10.8801545575481
"12","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","00024182","DAGIO","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","26020302238","GUAYMAS","1981","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.05","6.17","3.14","3","62.2","1","1","4",425,425,10.8582506253683
"13","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024711","L7","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020360236","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","28","1","1","0",425,425,10.8582506253683
"14","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024067","SELECTA16","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020367233","GUAYMAS","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.26","6.04","3.5","3","25","1","1","0",365,365,10.8055722873817
"15","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023762","CHUYITO5","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020438233","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","24","1","1","0",425,425,10.8582506253683
"16","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023515","CHUYITO21","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020454235","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.4","5.84","2.92","3","24","1","1","0",425,425,10.8582506253683
"17","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023770","CHUYITO6","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020460235","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","24","1","1","0",425,425,10.8582506253683
"18","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023739","CHUYITO3","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020464238","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","23","1","1","0",425,425,10.8582506253683
"19","2604011300","PESQUERA NUEVA SA DE CV","00041434","CHUYITO25","2604011300","PESQUERA NUEVA SA DE CV","26020466233","GUAYMAS","1983","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","25.04","6.2","3.25","4","26","1","1","0",550,550,10.9675033726524
"20","2604011300","PESQUERA NUEVA SA DE CV","00023788","CHUYITO7","2604011300","PESQUERA NUEVA SA DE CV","26020467236","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.05","3","26","1","1","0",565,550,10.9805688608392
"21","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023747","CHUYITO2","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020470232","GUAYMAS","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","23","1","1","0",425,425,10.8582506253683
"22","2604006086","ALMA MIRELLA ACUÑA GOMEZ","00023259","RESURRECCION2","2604006086","ALMA MIRELLA ACUÑA GOMEZ","26020482233","GUAYMAS","1973","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6","3","3","20","1","1","0",385,375,10.8231488158486
"23","2604011425","PESQUERA DON PAVO SA DE CV","00018127","DONLOPE","2604011425","PESQUERA DON PAVO SA DE CV","26020535235","GUAYMAS","1980","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","21.06","6.4","3.75","4","20","1","1","0",425,425,10.8582506253683
"24","2604007811","PESQUERA DELLY SA DE CV","00022319","NETO","2604007811","PESQUERA DELLY SA DE CV","26022569233","GUAYMAS","1979","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","6","3.5","2","22","1","1","0",485,475,10.9107752211126
"25","3012003673","NAVIERA Y PESQUERA EL RUISE¿OR SA DE CV","00069542","ELRUISEOR2","3012003673","NAVIERA Y PESQUERA EL RUISE¿OR SA DE CV","28040396238","VERACRUZ","1975","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6","0","3","0","1","1","0",425,425,10.8582506253683
"26","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00038950","ANGEL","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020038232","GUAYMAS","1982","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.83","5.8","3.51","3","58.6","1","1","1",425,425,10.8582506253683
"27","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","00038760","ALONSO","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","26020301237","GUAYMAS","1981","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.71","6.13","3.09","3","62.2","1","1","4",425,425,10.8582506253683
"28","2508006125","PESQUERA DE LA CRUZ, SA DE CV","00055129","DONACARMEN","2508006125","PESQUERA DE LA CRUZ, SA DE CV","2503015623-5","MAZATLAN","1998","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23","7","4","0","79","1","1","0",425,425,10.8582506253683
"29","2604004883","TERESITA DE JESUS ESPINOZA MENDIVIL","00018119","DANIELS","2604004883","TERESITA DE JESUS ESPINOZA MENDIVIL","26020304236","YAVAROS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.4","3.7","1.9","22","1","1","2",425,425,10.8582506253683
"30","0401002472","PESCASUR, S.A. DE C.V.","00068197","CAMPECHEMARISOL","0401002472","PESCASUR, S.A. DE C.V.","4020006237","LERMA","1987","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.86","5.6","3.36","2","60","1","1","0",402,402,10.8380754339523
"31","0401002472","PESCASUR, S.A. DE C.V.","00068155","JACKIEC","0401002472","PESCASUR, S.A. DE C.V.","4020010233","LERMA","1991","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.64","6.1","3.2","2","50","1","1","0",402,402,10.8380754339523
"32","0401002472","PESCASUR, S.A. DE C.V.","00040576","DONISAAC","0401002472","PESCASUR, S.A. DE C.V.","4020014235","LERMA","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","26.23","6.1","3.79","3.79","25","1","1","1",455,450,10.8845321410207
"33","0401002472","PESCASUR, S.A. DE C.V.","00068171","DONTAVO","0401002472","PESCASUR, S.A. DE C.V.","4020016238","LERMA","1988","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.54","6.2","3.24","2.44","45","1","1","0",432,425,10.8643864168679
"34","0401003637","NAVIERA Y PESQUERA MIROLAMA SA DE CV","00003541","MARQUEZ3","0401003637","NAVIERA Y PESQUERA MIROLAMA SA DE CV","4020065236","LERMA","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.84","6.7","3.65","2.5","30","1","1","1",500,500,10.9238823478233
"35","0401003512","NAVIERA RAMIREZ SA DE CV","00005678","MARQUEZ2","0401003512","NAVIERA RAMIREZ SA DE CV","4020101238","LERMA","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23","6","3","2.5","28","1","1","0",380,375,10.8187562852135
"36","0401002472","PESCASUR, S.A. DE C.V.","00005819","MILENA","0401002472","PESCASUR, S.A. DE C.V.","4020112239","LERMA","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.02","6.43","3.48","2.5","25","1","1","0",402,402,10.8380754339523
"37","0401002860","FRANCISCO ELIAS ROMELLON HERRERA","00068510","DONFRANCISCOR3","0401002860","FRANCISCO ELIAS ROMELLON HERRERA","4021282233","LERMA","1987","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21","6","3","1.5","0","1","1","1",455,450,10.8845321410207
"38","0401002860","FRANCISCO ELIAS ROMELLON HERRERA","00069351","DONFRANCISCOR7","0401002860","FRANCISCO ELIAS ROMELLON HERRERA","4021285238","LERMA","1991","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","7","4","2.1","34","1","1","1",455,450,10.8845321410207
"39","0401005012","GRUPO INVERSIONISTA DEL SURESTE S.A. DE C.V.","00069450","DONFRANCISCOR9","0401005012","GRUPO INVERSIONISTA DEL SURESTE S.A. DE C.V.","4021287234","LERMA","1991","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","7","3.67","3","95","1","1","1",455,450,10.8845321410207
"40","0402005276","NAVIERA ALEJANDRE, S.A. DE C.V.","00068213","DONLAU2","0402005276","NAVIERA ALEJANDRE, S.A. DE C.V.","4021399236","LERMA","1988","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","6.8","3.2","2.5","25","1","1","1",500,500,10.9238823478233
"41","0401005384","JUAN CARLOS LOPEZ PRESUEL","00068239","ALHAMBRA2","0401005384","JUAN CARLOS LOPEZ PRESUEL","4021400235","LERMA","1988","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","6.8","3.2","2.5","70","1","1","1",432,425,10.8643864168679
"42","0401002902","JAIME AUGUSTO RUIZ MORENO","00045864","TRIANGULO2","0401002902","JAIME AUGUSTO RUIZ MORENO","22808013343","LERMA","1988","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.84","6","3.5","2","72","1","1","1",402,402,10.8380754339523
"43","2508006778","PESQUERA JUSAJELI, SA DE CV","00019117","DONAGUSTIN7","2508006778","PESQUERA JUSAJELI, SA DE CV","25030050231","MAZATLAN","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.31","6","3.5","2.6","40","1","2","2",500,500,10.9238823478233
"44","2508005523","PESCA GAGUI, SA DE CV","00016139","PROPEMEXY5A","2508005523","PESCA GAGUI, SA DE CV","2503056923-7","MAZATLAN","1976","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6.2","3.5","0","12","1","1","0",455,450,10.8845321410207
"45","2508005523","PESCA GAGUI, SA DE CV","00016162","PROPEMEXA21A","2508005523","PESCA GAGUI, SA DE CV","2503057023-4","MAZATLAN","1976","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.9","6.2","3.5","0","12","1","1","0",450,450,10.8801545575481
"46","2508005424","PESQUERA CERRO VIGIA, SA DE CV","00019422","PROPEMEXA47A","2508005424","PESQUERA CERRO VIGIA, SA DE CV","25030693238","MAZATLAN","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.1","3.6","3.4","12","1","1","0",455,450,10.8845321410207
"47","2508005424","PESQUERA CERRO VIGIA, SA DE CV","00011650","PROPEMEXA18A","2508005424","PESQUERA CERRO VIGIA, SA DE CV","2503069523-7","MAZATLAN","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.1","3.65","3.4","12","1","1","0",440,425,10.8713961876396
"48","2808005876","PESQUERA FEREY S.A. DE C.V","00038620","RASTREADOR","2808005876","PESQUERA FEREY S.A. DE C.V","2804021123-6","TAMPICO","1982","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL","22.81","6.48","3.5","2.5","20","1","1","2",440,425,10.8713961876396
"49","2508010556","PESQUERIA BAHIA DE SANTIAGO, SA DE CV","00013896","MARIADELROSARIO","2508010556","PESQUERIA BAHIA DE SANTIAGO, SA DE CV","25030089237","MAZATLAN","1979","ACERO","REFRIGERACIÓN","PESCA MULTIPLE","VIDEOSONDA","COMERCIAL","21.94","6.1","3.65","3","30","1","1","0",440,425,10.8713961876396
"50","2508011182","PESCA INTEGRA DE ALTA MAR, SA DE CV","00011684","MARIANOPEREZ4","2508011182","PESCA INTEGRA DE ALTA MAR, SA DE CV","2503111823-5","MAZATLAN","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.9","6.1","3.6","0","120","1","1","0",440,425,10.8713961876396
"51","2508010515","PESQUERA SEJOMAR, SA DE CV","00069229","MANUELR","2508010515","PESQUERA SEJOMAR, SA DE CV","2503104723-5","MAZATLAN","1971","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","25.7","6.7","3.8","2.6","18","1","1","0",440,425,10.8713961876396
"52","0207000092","SCPP BAHIA DE LOS ANGELES SCL","00040113","BAHIADELOSANGELES2","0207000092","SCPP BAHIA DE LOS ANGELES SCL","2020461234","SAN FELIPE","1984","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","6.1","3.2","2.5","80.5","1","1","0",503,500,10.9265026200986
"53","0305001588","ROBERTO LOPEZ OROZCO","00048371","BLANCAESTELA4","0305001588","ROBERTO LOPEZ OROZCO","0303048823-1","SAN CARLOS","1976","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","22.98","6.78","3.46","4","300","1","1","0",450,450,10.8801545575481
"54","0401002472","PESCASUR, S.A. DE C.V.","00040931","TORMENTA","0401002472","PESCASUR, S.A. DE C.V.","4020015235","LERMA","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.75","6.4","3","2","60","1","1","1",520,500,10.9413435696085
"55","2306001112","NAVIERA CAMARONERA ACE SA DE CV","00043950","BANPESCA24","2306001112","NAVIERA CAMARONERA ACE SA DE CV","4023288231","LERMA","1984","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.73","5.4","2.51","3","0","1","1","1",400,400,10.8363200018269
"56","2508006836","PESCA MAGUI, SA DE CV","00034819","MEMILLO8","2508006836","PESCA MAGUI, SA DE CV","2303110023-8","MAZATLAN","1980","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.24","6.5","3.9","0","18.8","1","1","0",450,450,10.8801545575481
"57","2511001972","SCPP DE ALTURA RAMON ARMENTA MONTOYA SCL","00011270","MIGUELHIDALGO6","2511001972","SCPP DE ALTURA RAMON ARMENTA MONTOYA SCL","25010828233","TOPOLOBAMPO","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","24.3","7","0","3.1","0","1","1","0",450,450,10.8801545575481
"58","2508005374","PESQUERA DANYA, SA DE CV","00054957","EXMAZ3","2508005374","PESQUERA DANYA, SA DE CV","2503002823-5","MAZATLAN","1997","ACERO","HIELO | REFRIGERACIÓN | SALMUERA","ARRASTRE","VIDEOSONDA","COMERCIAL","23","7","4","2.6","0","1","1","2",450,450,10.8801545575481
"59","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","00018184","MANUEL","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","2503045723-7","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.46","6.4","3.91","0","45","1","1","4",450,450,10.8801545575481
"60","2508005879","PESQUERA JALILI, SA DE CV","00034827","MAZATLAN18","2508005879","PESQUERA JALILI, SA DE CV","25030521236","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","6.5","3.42","0","104.01","1","1","0",450,450,10.8801545575481
"61","2508005879","PESQUERA JALILI, SA DE CV","00034801","MAZATLAN16","2508005879","PESQUERA JALILI, SA DE CV","2503052323-1","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","6.5","3.42","0","104.01","1","1","0",450,450,10.8801545575481
"62","2508005424","PESQUERA CERRO VIGIA, SA DE CV","00054940","NAYARIT1","2508005424","PESQUERA CERRO VIGIA, SA DE CV","25030644232","MAZATLAN","1997","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.3","7","3.6","2.6","12","1","1","0",450,450,10.8801545575481
"63","2508006836","PESCA MAGUI, SA DE CV","00019448","MEMILLO9","2508006836","PESCA MAGUI, SA DE CV","2503110123-8","MAZATLAN","1970","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6","3","0","22","1","1","0",400,400,10.8363200018269
"64","2607003452","GILBERTO IGNACIO SOTELO RUIZ","00025114","GILIO1","2607003452","GILBERTO IGNACIO SOTELO RUIZ","26010193237","PUERTO PEÑASCO","1979","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.33","6.1","3.28","3","12","1","1","0",450,450,10.8801545575481
"65","2508011489","PESQUERA YESENIA, SA DE CV","00019844","REBELDE1","2508011489","PESQUERA YESENIA, SA DE CV","2503195423-5","MAZATLAN","1976","ACERO","HIELO | REFRIGERACIÓN | CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23","6.9","3.5","2.8","32","1","1","2",620,600,11.0283934414639
"66","2607002660","FRANCISCO JAIME SOTO GONZALEZ","00025072","JIMJIM3","2607002660","FRANCISCO JAIME SOTO GONZALEZ","2601034223-7","PUERTO PEÑASCO","1979","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","18.7","6.1","3.28","0","0","1","1","1",889,875,11.2604380677673
"67","2607003312","FRANCISCO EUGENIO AMAYA ANGULO","00026757","BORRASCOSA1","2607003312","FRANCISCO EUGENIO AMAYA ANGULO","26010344233","PUERTO PEÑASCO","1975","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.59","6.2","3.1","3","12.9","1","1","0",503,500,10.9265026200986
"68","2607004179","HUGO ALBERTO GONZALEZ MACIAS","00025197","GALERNA","2607004179","HUGO ALBERTO GONZALEZ MACIAS","26010424231","PUERTO PEÑASCO","1978","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","18.3","6.1","3.05","4","12","1","1","0",450,450,10.8801545575481
"69","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00039032","LUIS2","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020036236","GUAYMAS","1981","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.44","6.5","3.52","3","69.56","1","1","1",503,500,10.9265026200986
"70","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00038836","NAINARI","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020041234","GUAYMAS","1996","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.45","6.9","3.6","3","82.57","1","1","1",503,500,10.9265026200986
"71","2604011664","PESQUERA COMCO S DE RL DE CV","00021220","PESCO2","2604011664","PESQUERA COMCO S DE RL DE CV","26020493232","GUAYMAS","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.86","5.99","3.68","3","20","1","1","1",430,425,10.8626335471132
"72","2604011458","PESQUERA HIPON SA DE CV","00049262","ELPONCHO","2604011458","PESQUERA HIPON SA DE CV","26020529233","GUAYMAS","1985","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.46","6.66","3.74","4","18","1","1","1",603,600,11.0136250924574
"73","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","00037960","MAZATLAN20","2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","2503001723-6","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23","7","3","0","45","1","1","4",450,450,10.8801545575481
"74","2508005366","OPERADORA MARITIMA DEL PACIFICO, SA DE CV","00034793","MAZATLAN15","2508005366","OPERADORA MARITIMA DEL PACIFICO, SA DE CV","2503055323-3","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","0","20","1","1","1",450,450,10.8801545575481
"75","2508005366","OPERADORA MARITIMA DEL PACIFICO, SA DE CV","00034835","MAZATLAN19","2508005366","OPERADORA MARITIMA DEL PACIFICO, SA DE CV","2503055423-4","MAZATLAN","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","0","24","1","1","1",450,450,10.8801545575481
"76","2508011182","PESCA INTEGRA DE ALTA MAR, SA DE CV","00011668","SEBASTIAN3","2508011182","PESCA INTEGRA DE ALTA MAR, SA DE CV","2503203123-7","MAZATLAN","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.9","6.1","3.6","0","93.51","1","1","0",375,375,10.814362686924
"77","2508006778","PESQUERA JUSAJELI, SA DE CV","00054882","DONAGUSTIN2","2508006778","PESQUERA JUSAJELI, SA DE CV","2503010723-6","MAZATLAN","1995","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20","6","3","2.6","15","1","1","2",425,425,10.8582506253683
"78","2508005523","PESCA GAGUI, SA DE CV","00055137","MEMILLO6","2508005523","PESCA GAGUI, SA DE CV","2503022323-8","MAZATLAN","1998","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.5","7","3.6","0","18.8","1","1","0",455,450,10.8845321410207
"79","2508006240","JOSE LERMA CASTILLO","00055434","ANGELILLO","2508006240","JOSE LERMA CASTILLO","2503022423-6","MAZATLAN","1998","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.38","5.73","3.29","0","25","1","1","0",455,450,10.8845321410207
"80","2508005879","PESQUERA JALILI, SA DE CV","00054783","JAVIERGALDINO","2508005879","PESQUERA JALILI, SA DE CV","2503051723-8","MAZATLAN","1996","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","7","3.6","0","107.8","1","1","0",455,450,10.8845321410207
"81","2508005523","PESCA GAGUI, SA DE CV","00054742","MEMILLO4","2508005523","PESCA GAGUI, SA DE CV","2503057123-8","MAZATLAN","1996","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","7","3.6","0","18","1","1","0",455,450,10.8845321410207
"82","2508006836","PESCA MAGUI, SA DE CV","00054734","MEMILLO3","2508006836","PESCA MAGUI, SA DE CV","2503057423-7","MAZATLAN","1996","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","7","3.6","0","18","1","1","0",455,450,10.8845321410207
"83","2508006836","PESCA MAGUI, SA DE CV","00054858","MEMILLO5","2508006836","PESCA MAGUI, SA DE CV","2503057523-3","MAZATLAN","1996","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.5","7","3.6","0","18","1","1","0",455,450,10.8845321410207
"84","2508005648","PESQUERIA 15 DE SEPTIEMBRE, SA DE CV","00032722","PROPEMEXY7A","2508005648","PESQUERIA 15 DE SEPTIEMBRE, SA DE CV","2503060623-8","MAZATLAN","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.51","6","3.56","3.56","38.4","1","1","2",410,402,10.8450954542068
