"","eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","engine_power_hp","engine_power_bin_hp","design_speed_kt"
"1798","2604010609","PEDRO HERNANDEZ ROBLES","00022004","COCONACO","2604010609","PEDRO HERNANDEZ ROBLES","26020433236","GUAYMAS","1977","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.26","5.84","3.5","2","20","1","1","0",402,402,10.8380754339523
"1799","2604001616","PESQUERA EL MAREÑO, S.A. DE C.V.","00020131","ELMARENO","2604001616","PESQUERA EL MAREÑO, S.A. DE C.V.","26020642235","GUAYMAS","1973","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.25","6.04","2.95","3","29.5","1","1","0",365,365,10.8055722873817
"1800","2604011573","PESQUERA DON RAUL SA DE CV","00023358","DONRAUL","2604011573","PESQUERA DON RAUL SA DE CV","26020044234","GUAYMAS","1975","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6","0","3","0","1","1","0",425,425,10.8582506253683
"1801","2604008082","ENEDINA GASTELUM COTA","00023390","PESCADORA","2604008082","ENEDINA GASTELUM COTA","26020132236","GUAYMAS","1973","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","6.05","3.5","3","20","1","1","1",420,402,10.8538666359689
"1802","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","00000844","PROPEMEXPP1S","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","26020287231","GUAYMAS","1976","ACERO","REFRIGERACIÓN","CERCO","SONAR","COMERCIAL","22.95","6.76","3.89","2.98","135.2","1","1","0",540,525,10.9587877089223
"1803","2604011133","SILVIA LILLIAN PEREZ ESQUIVEL","00023119","PROPEMEXG25","2604011133","SILVIA LILLIAN PEREZ ESQUIVEL","26020115237","GUAYMAS","1972","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","6.05","3.5","4","18","1","1","0",470,450,10.8976584855117
"1804","2604011409","GEOMAR PESQUERA SA DE CV","00049825","GEOMAR11","2604011409","GEOMAR PESQUERA SA DE CV","2602053423-5","GUAYMAS","1986","ACERO","REFRIGERACIÓN","ARRASTRE | PALANGRE","VIDEOSONDA","COMERCIAL","21.94","6.4","3.65","2.44","30","1","1","1",450,450,10.8801545575481
"1805","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00022582","NAUTICO1","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020043236","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.29","6.32","3.52","3","78.21","1","1","0",500,500,10.9238823478233
"1806","2604612750","MARIA DE LOS ANGELES ALVAREZ NIEBLA","00023192","LICRAFAELAALVAREZ","2604612750","MARIA DE LOS ANGELES ALVAREZ NIEBLA","26020055239","GUAYMAS","1976","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.98","6","3","3","69.23","1","1","0",420,402,10.8538666359689
"1807","2604609947","SOFIA BENCOMO PEREZ","00038166","PUERTOCHALE2","2604609947","SOFIA BENCOMO PEREZ","26025150235","GUAYMAS","1982","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.73","6.3","3.3","3","115.89","1","1","0",365,365,10.8055722873817
"1808","2808007914","MARIA REBECA RUIZ ZORRILLA","00063453","RAULALEJANDRO1","2808007914","MARIA REBECA RUIZ ZORRILLA","28040062233","TAMPICO","1988","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","21.33","5.79","3.25","2","15","1","1","2",432,425,10.8643864168679
"1809","3105009207","GULF FRESH S.A. DE C.V.","00073197","PADRENUESTRO7","3105009207","GULF FRESH S.A. DE C.V.","31011837233","PROGRESO","1988","ACERO","HIELO","PESCA MULTIPLE","VIDEOSONDA","COMERCIAL","15.4","5.1","2.9","2","71.61","1","1","0",250,250,10.7041757419871
"1810","2808007922","RAUL ALEJANDRO RUIZ ZORRILLA","00064212","RUZO7","2808007922","RAUL ALEJANDRO RUIZ ZORRILLA","28041212239","TAMPICO","1979","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","20.52","6.1","3.25","2","12","1","1","2",402,402,10.8380754339523
"1811","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","00026989","SELECTA2","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","26020555235","GUAYMAS","1979","ACERO","REFRIGERACIÓN","CERCO","SONAR","COMERCIAL","23.88","7.5","4.18","4","178.08","1","1","0",624,600,11.031866553453
"1812","0203007208","JOSE CRISTOBAL ASCOLANI ROMO","00047068","VENCEDOR","0203007208","JOSE CRISTOBAL ASCOLANI ROMO","2011355231","ENSENADA","1968","MADERA","HIELO","CERCO | OTRO | OTRO | OTRO","VIDEOSONDA","COMERCIAL","12.4","4.3","1.9","2","13","1","1","0",200,200,10.6599141244817
"1813","2306000494","JUAN SELEM BERRON","00100222","PULMERO19","2306000494","JUAN SELEM BERRON","310145210238","PROGRESO","2015","ACERO","HIELO","PESCA MULTIPLE","VIDEOSONDA","COMERCIAL","16.76","5.9","2.4","2.5","65.7","1","1","0",400,400,10.8363200018269
"1814","3105002921","CARLOS MANUEL ZACARIAS DIB","00100248","TIBURON4","3105002921","CARLOS MANUEL ZACARIAS DIB","31015215234","YUCALPETEN","2016","ACERO","HIELO","PESCA MULTIPLE","VIDEOSONDA","COMERCIAL","16.76","4.94","2.5","2","36","1","1","1",250,250,10.7041757419871
"1815","3105002921","CARLOS MANUEL ZACARIAS DIB","00100255","ELARCADENOE","3105002921","CARLOS MANUEL ZACARIAS DIB","31015213235","YUCALPETEN","2018","ACERO","HIELO","PALANGRE","VIDEOSONDA","COMERCIAL","16.76","4.94","2.5","2","36","1","1","1",350,350,10.7923786806597
"1816","3105002731","JOSE DE JESUS QUIÑONEZ GALVAN","00075796","ORCA1","3105002731","JOSE DE JESUS QUIÑONEZ GALVAN","31011829235","PROGRESO","1993","FIBRA DE VIDRIO","HIELO","PALANGRE","ECOSONDA | VIDEOSONDA","COMERCIAL","16.6","5.1","1.95","1.5","29.83","1","1","0",350,350,10.7923786806597
"1817","3105002731","JOSE DE JESUS QUIÑONEZ GALVAN","00075804","ORCA2","3105002731","JOSE DE JESUS QUIÑONEZ GALVAN","31011479238","PROGRESO","1989","FIBRA DE VIDRIO","HIELO","PESCA MULTIPLE","ECOSONDA | VIDEOSONDA","COMERCIAL","16.6","5.1","1.95","1.5","29.83","1","1","1",350,350,10.7923786806597
"1818","1802002525","ACUICOLA LA LAMOSA SPR DE RL","00016907","MARIOMORENO3","1802002525","ACUICOLA LA LAMOSA SPR DE RL","25030103237","SAN BLAS","1974","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","20","6","3","3","0","1","1","0",365,365,10.8055722873817
"1819","2604611638","SARDISON,  S.A. DE C.V.","00056358","PORTOLA1","2604611638","SARDISON,  S.A. DE C.V.","26025427239","GUAYMAS","1991","ACERO","REFRIGERACIÓN","CERCO","VIDEOSONDA","COMERCIAL","31.63","7.74","4.03","0","0","1","1","1",705,700,11.1020500552132
"1820","2604009171","PESQUERA SON MAR DEL PACIFICO SA DE CV","00049395","DORADODEVILLA9","2604009171","PESQUERA SON MAR DEL PACIFICO SA DE CV","26020445235","GUAYMAS","1985","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.7","6.27","3.3","3","29","1","1","0",520,500,10.9413435696085
"1821","2604011133","SILVIA LILLIAN PEREZ ESQUIVEL","00020594","DONSIXTO1","2604011133","SILVIA LILLIAN PEREZ ESQUIVEL","2602049123-9","GUAYMAS","1975","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.9","6.84","3.3","3","33","1","1","0",365,365,10.8055722873817
"1822","2604010641","PESQUERA EL MORROÑO, S.A. DE C.V.","00021113","SANVICENTE","2604010641","PESQUERA EL MORROÑO, S.A. DE C.V.","26020514236","GUAYMAS","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.5","6.2","3.1","3","20","1","1","0",430,425,10.8626335471132
"1823","2604011359","JESUS SALVADOR SOTO TAPIZ","00026187","JESUSALBERTO3","2604011359","JESUS SALVADOR SOTO TAPIZ","2602021223-7","GUAYMAS","1973","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6.2","3.1","3","20","1","1","0",365,365,10.8055722873817
"1824","2604011409","GEOMAR PESQUERA SA DE CV","00022756","GEOMAR13","2604011409","GEOMAR PESQUERA SA DE CV","2602031623-5","GUAYMAS","1976","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","18.18","6.3","3.1","3","18","1","1","1",402,402,10.8380754339523
"1825","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","00043703","SELECTA1","2604610010","SARDINEROS LA PITAHAYOSA, S.A. DE C.V.","26020290237","GUAYMAS","1987","ACERO","REFRIGERACIÓN","CERCO","SONAR","COMERCIAL","23.51","7.17","4.11","3.2","173.85","1","1","0",615,600,11.0240510905885
"1826","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00049502","ISMAR6","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020080235","GUAYMAS","1988","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.03","6.1","3.64","4","78.21","1","1","1",624,600,11.031866553453
"1827","3105005155","JORGE ALBER FUENTES AVILA","00073858","CARIBEAN","3105005155","JORGE ALBER FUENTES AVILA","31011344238","YUCALPETEN","1990",NA,"HIELO","PALANGRE","VIDEOSONDA","COMERCIAL","16","5","0","2","0","1","1","0",90,90,10.5621627515999
"1828","2808007914","MARIA REBECA RUIZ ZORRILLA","00064543","JULIO2","2808007914","MARIA REBECA RUIZ ZORRILLA","28040061235","TAMPICO","1987","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","25.38","6.75","3.4","3","20","1","1","2",493,475,10.9177668844646
